food_name,food_type,energy,proteins,total_fat,water,carbohydrates_total,calcium,iron,sodium
"Kiwicha, achita o achis o amaranto",Cereales y Derivados,351.0,12.8,6.6,9.2,69.1,236.0,7.32,0.0
Arroz pilado o pulido cocido,Cereales y Derivados,115.0,2.4,0.1,72.2,25.2,11.0,0.3,18.0
Arroz blanco corriente,Cereales y Derivados,358.0,7.8,0.7,13.4,77.6,6.0,1.04,19.0
Arroz con cáscara,Cereales y Derivados,332.0,5.9,2.0,11.9,75.7,40.0,0.0,19.0
Avena envasada,Cereales y Derivados,380.0,13.7,4.7,6.1,71.3,51.0,3.5,2.0
"Avena, hojuela cocida",Cereales y Derivados,54.0,1.3,0.5,87.1,10.9,21.0,0.5,0.0
"Avena, hojuela cruda",Cereales y Derivados,333.0,13.3,4.0,8.8,72.2,49.0,4.1,2.0
"Cañihua, variedad amarilla",Cereales y Derivados,381.0,15.7,7.5,10.7,62.5,87.0,10.8,0.0
Cañihua gris,Cereales y Derivados,356.0,14.0,4.5,12.4,64.0,110.0,13.0,0.0
"Cañihua, hojuela de",Cereales y Derivados,318.0,14.5,8.9,11.4,61.0,141.0,17.07,0.0
Cañihua parda,Cereales y Derivados,355.0,13.8,3.5,12.2,66.2,171.0,15.0,0.0
Cebada con cáscara,Cereales y Derivados,284.0,8.4,2.0,9.7,77.5,61.0,4.58,0.0
"Cebada, llunka de (morón americano)",Cereales y Derivados,249.0,1.9,0.7,18.5,77.1,42.0,9.7,0.0
"Cebada, mashka o machica",Cereales y Derivados,302.0,8.6,0.7,10.0,77.4,74.0,12.3,0.0
"Cebada para mote, pelada",Cereales y Derivados,328.0,8.2,1.1,15.4,73.3,47.0,3.6,0.0
"Cebada tostada, harina integral",Cereales y Derivados,274.0,8.7,3.2,5.6,80.2,0.0,9.6,0.0
Cebada perlada o resbalada cocida,Cereales y Derivados,59.0,1.0,0.1,81.0,17.7,9.0,0.9,0.0
Cebada perlada o resbalada cruda,Cereales y Derivados,277.0,5.3,0.6,13.3,79.8,18.0,4.0,0.0
Cebada tostada y molida (chaquepa),Cereales y Derivados,349.0,7.7,0.8,9.9,79.7,55.0,7.1,0.0
Chancay (bizcocho),Cereales y Derivados,355.0,8.8,6.9,19.4,64.4,47.0,1.0,0.0
Fideo crudo fortificado con hierro,Cereales y Derivados,337.0,9.4,0.2,12.1,77.7,24.0,5.5,0.0
Fideo tallarín crudo fortificado con hierro,Cereales y Derivados,305.0,9.5,0.1,20.4,69.6,40.0,5.5,0.0
Fideo tallarín sancochado fortiticado con hierro,Cereales y Derivados,90.0,3.1,0.0,75.5,21.3,25.0,1.35,0.0
Galleta de soda (salada),Cereales y Derivados,433.0,10.1,14.7,4.8,68.0,38.0,1.5,0.0
Galleta de vainilla (dulce),Cereales y Derivados,434.0,6.0,12.7,4.8,74.9,22.0,0.6,0.0
Maíz alazán,Cereales y Derivados,346.0,8.2,3.7,13.7,72.7,14.0,0.7,0.0
"Maíz alazán, jora fresca de",Cereales y Derivados,289.0,5.4,2.8,28.1,62.3,23.0,0.0,0.0
"Maíz alazán, jora seca de",Cereales y Derivados,347.0,7.0,3.6,13.8,73.8,38.0,0.5,0.0
Maíz amarillo,Cereales y Derivados,355.0,6.7,4.8,13.5,73.6,6.0,1.92,0.0
Maíz blanco crudo,Cereales y Derivados,343.0,5.9,4.0,12.7,76.1,5.0,1.48,0.0
Maíz blanco tostado,Cereales y Derivados,389.0,7.2,4.6,4.6,82.1,6.0,2.6,0.0
Maíz cancha tostada de,Cereales y Derivados,342.0,6.7,2.7,9.5,79.8,11.0,2.7,0.0
"Maíz, chochoca de, sin moler",Cereales y Derivados,349.0,5.2,2.5,13.0,78.0,12.0,1.5,0.0
"Maíz, grano fresco (choclo)",Cereales y Derivados,104.0,3.3,0.8,67.3,27.8,8.0,0.8,0.0
"Maíz, germinado seco",Cereales y Derivados,314.0,6.2,3.2,22.0,67.0,22.0,0.4,0.0
"Maíz, harina de",Cereales y Derivados,326.0,8.7,6.5,11.9,71.2,64.0,2.0,0.0
"Maíz, maicena",Cereales y Derivados,365.0,0.3,0.1,8.3,91.3,2.0,0.0,0.0
"Maíz, morado sin coronta",Cereales y Derivados,355.0,7.3,3.4,11.4,76.2,12.0,0.2,0.0
"Maíz, mote de, sancochado",Cereales y Derivados,103.0,2.6,1.3,74.5,21.1,14.0,1.2,0.0
"Maíz, pachuco de",Cereales y Derivados,349.0,7.3,3.9,13.4,73.5,89.0,3.7,0.0
"Maíz, para mote pelado",Cereales y Derivados,349.0,5.9,2.1,12.6,78.3,47.0,3.8,0.0
"Maíz, para mote sin pelar",Cereales y Derivados,345.0,5.7,1.5,12.8,78.7,9.0,4.4,0.0
"Maíz, polenta cruda de",Cereales y Derivados,324.0,8.3,1.2,13.3,74.0,70.0,2.0,0.0
"Maíz, tocosh crudo",Cereales y Derivados,205.0,2.8,3.0,53.1,41.1,5.0,0.7,0.0
Pan de cebada (serrano),Cereales y Derivados,295.0,7.2,0.2,24.4,66.2,60.0,6.5,0.0
Pan de labranza,Cereales y Derivados,328.0,9.6,0.3,17.3,71.8,40.0,1.6,0.0
Pan de molde,Cereales y Derivados,317.0,6.8,2.5,20.8,69.2,13.0,0.4,0.0
Pan bollo o bollitos de queso de Huancavelica,Cereales y Derivados,310.0,9.5,7.3,30.299999999999997,51.7,0.0,5.29,0.0
Pan francés fortificado con hierro,Cereales y Derivados,277.0,8.4,0.2,27.0,62.9,35.0,3.14,0.0
"Quinua, afrecho de",Cereales y Derivados,351.0,10.7,4.5,14.1,65.9,573.0,4.0,0.0
"Quinua blanca, (Junín)",Cereales y Derivados,334.0,12.5,6.5,12.8,66.0,85.0,3.03,30.0
Quinua blanca (Puno),Cereales y Derivados,355.0,13.3,6.1,11.1,67.1,120.0,4.31,30.0
Quinua cocida,Cereales y Derivados,89.0,2.8,1.3,79.0,16.3,27.0,1.6,24.0
Quinua,Cereales y Derivados,351.0,13.6,5.8,11.5,66.6,56.0,7.5,30.0
"Quinua dulce, blanca (Junín)",Cereales y Derivados,361.0,11.1,7.7,11.1,67.4,93.0,4.3,30.0
"Quinua dulce, blanca (Puno)",Cereales y Derivados,349.0,11.6,5.3,11.2,68.9,115.0,5.3,30.0
"Quinua dulce, rosada (Junín)",Cereales y Derivados,360.0,12.3,7.2,11.0,67.1,80.0,4.3,30.0
"Quinua, harina de",Cereales y Derivados,337.0,12.4,6.0,11.7,67.2,104.0,9.65,2.0
